SNPs1,Indels1,SVs1,SNPs2,Indels2,SVs2,SNPs3,Indels3,SVs3,SNPs4,Indels4,SVs4,SNPs5,Indels5,SVs5,SNPs6,Indels6,SVs6,SNPs7,Indels7,SVs7,SNPs8,Indels8,SVs8,SNPs9,Indels9,SVs9,SNPs10,Indels10,SVs10
19261,3042,40,19271,2876,35,19305,3520,35,19525,3380,34,24987,3194,46,21102,3175,43,19297,3192,40,21481,2991,39,20328,3096,41,20184,3115,37
19328,3897,32,16472,2420,19,16304,2391,38,16339,2314,28,23616,2554,39,19343,2387,38,17727,2041,42,19558,2285,42,17715,2390,37,18401,2190,16
19547,3786,32,16499,2342,19,89,56,0,89,56,0,21978,2992,24,18622,2630,20,17389,2900,19,18394,2271,22,16938,2425,18,17541,2245,22
24720,3165,42,24015,2880,36,21931,2987,32,22151,2879,31,22200,2932,23,18781,2591,20,17617,2819,19,18565,2198,22,17095,2344,18,17734,2195,22
21056,3128,37,19198,2420,31,18529,2665,22,18669,2622,22,24666,2985,46,24682,3097,52,24230,3088,40,24817,2802,50,24483,2843,44,24218,2774,36
19283,2901,34,17732,2247,29,17378,2859,23,17606,2779,23,24245,3073,35,21215,2875,34,21234,2944,40,18645,2298,30,20083,2463,29,20838,2541,32
21398,2861,39,19412,2112,33,18337,2312,29,18506,2198,29,24863,2840,47,18522,2261,34,20974,2264,35,20983,2225,30,18892,2203,28,19775,2415,35
20311,2963,35,17903,2433,26,16922,2319,21,17076,2235,21,24508,2928,39,20377,2439,31,18914,2327,34,13360,140,17,13259,1346,32,20153,2125,37
20398,3080,37,18397,2134,33,17511,2253,24,17703,2203,25,24276,2780,31,20790,2485,35,19755,2439,39,20077,2195,35,18396,2123,31,18359,2123,32
